timestamp,speed,acceleration,longitudinal_accel,lateral_accel,longitudinal_jerk,lateral_jerk,lead_detected,lead_distance,target_speed
1773666210.877035,8.0724,0.0167,0.0462,0.0256,-0.0751,-0.0082,False,nan,8.0000
1773666210.976340,7.8882,0.0179,0.0294,0.0289,-0.1686,0.0336,False,nan,8.0000
1773666211.076846,8.0413,0.0189,0.0252,0.0249,-0.0423,-0.0403,False,nan,8.0000
1773666211.176563,8.2241,-0.1307,0.0161,0.0220,-0.0907,-0.0287,False,nan,8.0000
1773666211.277376,7.9551,-0.1305,-0.0266,0.0085,-0.4245,-0.1343,False,nan,8.0000
1773666211.379274,8.0078,-0.0465,-0.0404,-0.0025,-0.1352,-0.1082,False,nan,8.0000
1773666211.481297,8.0633,0.0277,-0.0324,0.0024,0.0782,0.0487,False,nan,8.0000
1773666211.585931,7.9425,-0.0919,-0.0362,0.0051,-0.0355,0.0257,False,nan,8.0000
1773666211.684919,7.9141,-0.0763,-0.0518,0.0122,-0.1582,0.0720,False,nan,8.0000
1773666211.780745,7.9546,0.1491,-0.0297,-0.0007,0.2312,-0.1348,False,nan,8.0000
1773666211.876994,8.0963,-0.0006,-0.0118,0.0039,0.1852,0.0475,False,nan,8.0000
1773666211.977210,8.0588,-0.0005,-0.0142,0.0053,-0.0232,0.0145,False,nan,8.0000
1773666212.076325,8.1255,-0.0010,0.0144,0.0099,0.2876,0.0461,False,nan,8.0000
1773666212.177772,8.2084,-0.1510,0.0007,0.0115,-0.1342,0.0157,False,nan,8.0000
1773666212.285290,8.1554,-0.1513,-0.0109,0.0041,-0.1086,-0.0687,False,nan,8.0000
1773666212.376426,8.0790,-0.0789,-0.0364,0.0013,-0.2794,-0.0310,False,nan,8.0000
1773666212.479876,8.1453,-0.0794,-0.0372,0.0132,-0.0074,0.1145,False,nan,8.0000
1773666212.577162,8.0943,-0.0803,-0.0282,0.0177,0.0927,0.0469,False,nan,8.0000
1773666212.679035,8.0412,-0.0796,-0.0459,0.0020,-0.1744,-0.1543,False,nan,8.0000
1773666212.785008,8.0922,-0.0451,-0.0473,0.0003,-0.0134,-0.0163,False,nan,8.0000
1773666212.876422,8.1201,-0.0462,-0.0366,0.0053,0.1169,0.0550,False,nan,8.0000
1773666212.981461,8.1253,-0.0152,-0.0285,0.0149,0.0776,0.0912,False,nan,8.0000
1773666213.082567,7.9806,0.0652,-0.0245,0.0174,0.0392,0.0251,False,nan,8.0000
1773666213.177093,8.1697,-0.0157,-0.0137,0.0192,0.1147,0.0189,False,nan,8.0000
1773666213.276323,8.0506,0.0205,0.0009,0.0037,0.1471,-0.1560,False,nan,8.0000
1773666213.377410,8.0201,0.0329,0.0106,0.0017,0.0956,-0.0202,False,nan,8.0000
1773666213.476501,8.1273,0.0318,0.0222,0.0108,0.1168,0.0918,False,nan,8.0000
1773666213.576351,8.0837,-0.0657,0.0075,0.0140,-0.1466,0.0323,False,nan,8.0000
1773666213.676473,8.0255,-0.0647,-0.0044,0.0110,-0.1192,-0.0302,False,nan,8.0000
1773666213.776349,7.9433,0.0867,-0.0022,0.0187,0.0225,0.0770,False,nan,8.0000
1773666213.880754,7.9896,0.0009,0.0191,0.0203,0.2033,0.0157,False,nan,8.0000
1773666213.976472,8.0302,0.0630,0.0314,0.0216,0.1294,0.0131,False,nan,8.0000
1773666214.076631,7.9988,0.0730,0.0549,0.0162,0.2345,-0.0539,False,nan,8.0000
1773666214.178363,8.0958,0.0719,0.0772,0.0055,0.2191,-0.1054,False,nan,8.0000
1773666214.281227,8.2616,-0.0781,0.0759,-0.0028,-0.0132,-0.0799,False,nan,8.0000
1773666214.376626,7.9045,0.0780,0.0745,0.0106,-0.0142,0.1405,False,nan,8.0000
1773666214.476361,8.0342,0.0716,0.0838,0.0069,0.0927,-0.0378,False,nan,8.0000
1773666214.577200,8.0769,-0.0180,0.0694,-0.0033,-0.1420,-0.1012,False,nan,8.0000
1773666214.676713,8.0778,-0.0805,0.0689,-0.0003,-0.0051,0.0306,False,nan,8.0000
1773666214.777006,7.9711,-0.0643,0.0242,0.0022,-0.4462,0.0247,False,nan,8.0000
1773666214.876357,7.9969,0.0759,0.0189,-0.0035,-0.0527,-0.0571,False,nan,8.0000
1773666214.976480,7.9823,0.0766,0.0190,-0.0028,0.0004,0.0071,False,nan,8.0000
1773666215.077305,7.8983,0.0768,0.0174,0.0056,-0.0158,0.0834,False,nan,8.0000
1773666215.176407,8.1751,-0.0733,0.0195,0.0049,0.0218,-0.0076,False,nan,8.0000
1773666215.276354,7.8006,0.0767,0.0044,0.0041,-0.1515,-0.0082,False,nan,8.0000
1773666215.378924,8.1840,-0.0733,-0.0021,0.0011,-0.0634,-0.0291,False,nan,8.0000
1773666215.476400,7.9835,-0.0700,-0.0169,0.0028,-0.1514,0.0178,False,nan,8.0000
1773666215.576480,7.9550,-0.0692,-0.0334,0.0081,-0.1658,0.0527,False,nan,8.0000
1773666215.689305,7.9604,0.0838,-0.0320,0.0109,0.0124,0.0254,False,nan,8.0000
1773666215.786055,7.9962,0.0795,-0.0075,0.0104,0.2535,-0.0060,False,nan,8.0000
1773666215.877459,8.0782,-0.0708,-0.0022,0.0102,0.0586,-0.0022,False,nan,8.0000
1773666215.977108,8.0310,-0.0333,-0.0024,0.0165,-0.0022,0.0634,False,nan,8.0000
1773666216.077915,8.0871,-0.1240,-0.0096,0.0146,-0.0711,-0.0187,False,nan,8.0000
1773666216.176935,7.9683,0.0259,-0.0179,0.0130,-0.0842,-0.0156,False,nan,8.0000
1773666216.276315,7.9710,0.1578,-0.0018,0.0034,0.1618,-0.0975,False,nan,8.0000
1773666216.376824,8.0861,0.0078,0.0124,-0.0138,0.1418,-0.1709,False,nan,8.0000
1773666216.477196,8.0853,-0.0466,0.0010,-0.0082,-0.1139,0.0559,False,nan,8.0000
1773666216.577440,8.0644,-0.0447,0.0027,-0.0091,0.0170,-0.0089,False,nan,8.0000
1773666216.676299,8.1155,-0.1511,-0.0187,-0.0008,-0.2170,0.0845,False,nan,8.0000
1773666216.776947,8.0350,-0.0035,-0.0207,-0.0065,-0.0195,-0.0568,False,nan,8.0000
1773666216.876373,8.0325,-0.0038,-0.0115,-0.0067,0.0929,-0.0025,False,nan,8.0000
1773666216.977061,8.0209,-0.0030,-0.0251,0.0050,-0.1357,0.1159,False,nan,8.0000
1773666217.076885,8.0714,-0.0827,-0.0333,0.0058,-0.0817,0.0087,False,nan,8.0000
1773666217.176484,8.0163,0.0100,-0.0330,0.0007,0.0024,-0.0516,False,nan,8.0000
1773666217.276507,7.8506,0.1603,-0.0127,0.0017,0.2035,0.0098,False,nan,8.0000
1773666217.376289,8.0907,0.0107,0.0115,0.0026,0.2423,0.0097,False,nan,8.0000
1773666217.477797,8.1698,0.0089,0.0174,0.0068,0.0584,0.0410,False,nan,8.0000
1773666217.576663,7.9997,0.0446,0.0156,-0.0030,-0.0186,-0.0992,False,nan,8.0000
